28-06-2016T00:00:00 - afternoon , Other, Mechanical Problem, Heavy Traffic, morning , Late return from Field Trip, Problem Run, Heavy Traffic, 
29-06-2016T00:00:00 - morning , Late return from Field Trip, Problem Run, Heavy Traffic, 
30-06-2016T00:00:00 - morning , Heavy Traffic, Mechanical Problem, Flat Tire, 
05-07-2016T00:00:00 - morning , Heavy Traffic, Weather Conditions, Mechanical Problem, 
06-07-2016T00:00:00 - morning , Weather Conditions, Won`t Start, Mechanical Problem, 
07-07-2016T00:00:00 - afternoon , Heavy Traffic, Other, Won`t Start, morning , Heavy Traffic, Weather Conditions, Other, 
08-07-2016T00:00:00 - morning , Other, Heavy Traffic, Mechanical Problem, 
11-07-2016T00:00:00 - afternoon , Other, Heavy Traffic, Weather Conditions, morning , Heavy Traffic, Won`t Start, Weather Conditions, 
12-07-2016T00:00:00 - afternoon , Other, Heavy Traffic, Weather Conditions, morning , Heavy Traffic, Other, Weather Conditions, 
13-07-2016T00:00:00 - afternoon , Other, Heavy Traffic, Weather Conditions, morning , Heavy Traffic, Won`t Start, Weather Conditions, 
14-07-2016T00:00:00 - afternoon , Other, Heavy Traffic, Weather Conditions, morning , Heavy Traffic, Weather Conditions, Won`t Start, 
15-07-2016T00:00:00 - morning , Heavy Traffic, Problem Run, Other, 
18-07-2016T00:00:00 - morning , Heavy Traffic, Other, Weather Conditions, 
19-07-2016T00:00:00 - afternoon , Other, Heavy Traffic, Weather Conditions, morning , Heavy Traffic, Mechanical Problem, Weather Conditions, 
20-07-2016T00:00:00 - afternoon , Other, Weather Conditions, Heavy Traffic, morning , Won`t Start, Weather Conditions, Heavy Traffic, 
21-07-2016T00:00:00 - morning , Heavy Traffic, Other, Weather Conditions, 
22-07-2016T00:00:00 - morning , Heavy Traffic, Other, Mechanical Problem, 
25-07-2016T00:00:00 - afternoon , Other, Heavy Traffic, Won`t Start, morning , Mechanical Problem, Heavy Traffic, Other, 
26-07-2016T00:00:00 - afternoon , Heavy Traffic, Other, Mechanical Problem, morning , Mechanical Problem, Heavy Traffic, Other, 
27-07-2016T00:00:00 - afternoon , Other, Problem Run, Heavy Traffic, morning , Flat Tire, Problem Run, Heavy Traffic, 
28-07-2016T00:00:00 - afternoon , Other, Heavy Traffic, Mechanical Problem, morning , Heavy Traffic, Mechanical Problem, Won`t Start, 
29-07-2016T00:00:00 - afternoon , Other, Weather Conditions, Heavy Traffic, 
01-08-2016T00:00:00 - morning , Weather Conditions, Other, Flat Tire, 
02-08-2016T00:00:00 - afternoon , Weather Conditions, Other, Heavy Traffic, morning , Weather Conditions, Other, Mechanical Problem, 
03-08-2016T00:00:00 - afternoon , Weather Conditions, Other, Heavy Traffic, morning , Weather Conditions, Heavy Traffic, Won`t Start, 
04-08-2016T00:00:00 - morning , Weather Conditions, Mechanical Problem, Won`t Start, 
05-08-2016T00:00:00 - morning , Heavy Traffic, Weather Conditions, Other, 
08-08-2016T00:00:00 - afternoon , Weather Conditions, Other, Heavy Traffic, morning , Weather Conditions, Other, Won`t Start, 
09-08-2016T00:00:00 - morning , Heavy Traffic, Other, Flat Tire, 
10-08-2016T00:00:00 - morning , Heavy Traffic, Mechanical Problem, Weather Conditions, 
11-08-2016T00:00:00 - afternoon , Other, Heavy Traffic, Weather Conditions, morning , Heavy Traffic, Weather Conditions, Mechanical Problem, 
12-08-2016T00:00:00 - afternoon , Other, Heavy Traffic, Won`t Start, afternoon , Other, Heavy Traffic, Weather Conditions, 
22-08-2016T00:00:00 - morning , Heavy Traffic, Late return from Field Trip, Weather Conditions, 
31-08-2016T00:00:00 - morning , Late return from Field Trip, Weather Conditions, Heavy Traffic, 
02-09-2016T00:00:00 - morning , Late return from Field Trip, Weather Conditions, Flat Tire, 
06-09-2016T00:00:00 - morning , Flat Tire, Late return from Field Trip, Weather Conditions, 
